# ============================================================
# Data for Run 1  —  started 2026-07-07 10:30:54
# ============================================================
1,2026-07-07T10:30:53.985827,2026-07-07T10:32:38.332093,104.35,15.73,88.13,67.6,6
# ============================================================
# Data for Run 2  —  started 2026-07-07 11:15:27
# ============================================================
2,2026-07-07T11:15:27.073179,2026-07-07T11:17:16.339407,109.27,15.3,94.45,67.5,6
# ============================================================
# Data for Run 3  —  started 2026-07-07 11:21:49
# ============================================================
3,2026-07-07T11:21:49.189118,2026-07-07T11:25:11.506077,202.32,14.11,91.33,67.5,11
# ============================================================
# Data for Run 4  —  started 2026-07-07 11:44:35
# ============================================================
4,2026-07-07T11:44:34.989877,2026-07-07T11:46:57.431493,142.44,11.04,86.91,67.5,8
# ============================================================
# Data for Run 5  —  started 2026-07-07 16:13:17
# ============================================================
5,2026-07-07T16:13:16.936075,2026-07-07T16:15:54.554795,157.62,14.3,91.29,68.0,9
# ============================================================
# Data for Run 6  —  started 2026-07-07 17:33:36
# ============================================================
6,2026-07-07T17:33:36.648044,2026-07-07T17:36:58.037835,201.39,19.14,89.39,67.9,11
# ============================================================
# Data for Run 7  —  started 2026-07-08 09:31:01
# ============================================================
7,2026-07-08T09:31:01.472283,2026-07-08T09:32:34.974389,93.5,13.89,91.03,68.07,7
# ============================================================
# Data for Run 8  —  started 2026-07-08 10:38:47
# ============================================================
8,2026-07-08T10:38:47.681564,2026-07-08T10:42:00.274684,192.59,12.97,94.99,68.1,14
# ============================================================
# Data for Run 9  —  started 2026-07-08 15:49:57
# ============================================================
9,2026-07-08T15:49:57.818975,2026-07-08T15:51:47.258599,109.44,19.78,93.22,69.9,6
# ============================================================
# Data for Run 10  —  started 2026-07-09 17:13:36
# ============================================================
10,2026-07-09T17:13:36.846445,2026-07-09T17:15:17.876113,101.03,16.26,93.9,70.7,5
# ============================================================
# Data for Run 11  —  started 2026-07-09 17:31:35
# ============================================================
11,2026-07-09T17:31:35.229482,2026-07-09T17:34:20.406427,165.18,20.18,92.94,70.7,8
